Model,Label
WranglerBackcountry,2593
WranglerUnlimited,2610
WranglerAltitude,2591
WranglerHard,2599
WranglerChief,2597
ForteAutomatic,1086
ForteLX,1088
ForteManual,1089
Forte4dr,1083
ForteS,1090
Spectra4dr,2277
RioSedan,2019
ForteEX,1087
OptimaLX,1696
RioLX,2017
Rio5-door,2012
OptimaEX,1695
Optima4dr,1693
Spectra5dr,2278
Forte,1081
Rio5dr,2013
Rio4dr,2011
RioEX,2016
ForteSX,1091
Optima,1691
SportageAWD,2290
SportageLX,2294
Soul,2259
SportageFWD,2293
OptimaSX,1702
Forte5LX,1084
Sportage2WD,2286
SoulManual,2269
Rio,2010
Sephia4dr,2196
SorentoLX,2256
Borrego4WD,325
SorentoL,2255
Borrego2WD,324
SoulAutomatic,2264
SorentoAWD,2252
Sportage4WD,2288
Soul+,2262
Optima2006.5,1692
Sedona4dr,2180
Soul5dr,2263
OptimaLimited,1697
SportageSX,2295
SportageEX,2292
Sportage4dr,2289
SportageBase,2291
Sorento2WD,2249
OptimaSXL,1703
Sorento4dr,2251
Soul!,2260
SedonaEX,2182
Amanti4dr,236
NiroEX,1667
SorentoEX,2254
SedonaLX,2184
SoulBase,2265
SoulEV,2266
Sorento4WD,2250
SedonaL,2183
SorentoSX,2258
NiroLX,1669
Sedona,2179
Rondo4dr,2032
Soul#NAME?,2261
SorentoLimited,2257
SoulExclaim,2268
NiroTouring,1670
CadenzaPremium,455
K900Luxury,1340
SedonaSX,2186
CadenzaLimited,454
K900Premium,1341
CadenzaSedan,456
SedonaLimited,2185
OptimaS,1700
K900V6,1342
K900V8,1343
SedonaSX-L,2187
CadenzaTechnology,457
Rover,2039
HS,1221
ES,755
IS,1256
RX,1947
CT,425
SC,2115
NX,1654
GS,1159
GX,1171
CTCT,427
LS,1354
ISIS,1257
NXFWD,1658
RCRC,1927
RC,1926
ESES,756
NXAWD,1656
NXF,1657
RXRX,1949
LX,1367
GSGS,1160
Aviator4dr,286
AviatorAWD,287
Zephyr4dr,2779
Aviator2WD,285
MKCFWD,1476
MKZ4dr,1505
MKZFWD,1508
MKCAWD,1474
Continental4dr,637
MKZHybrid,1509
MKZ,1504
MKZAWD,1506
MKXFWD,1499
MKZPremiere,1510
MKXAWD,1498
Navigator4dr,1663
MKXMKX,1500
MKX4dr,1497
MKZSelect,1512
LS4dr,1355
MKX2WD,1496
MKS4dr,1480
MKC,1473
MKZReserve,1511
Navigator2WD,1661
Navigator4WD,1662
MKS3.5L,1478
MKZBlack,1507
MKS3.7L,1479
Mark,1553
MKT4dr,1485
Blackwood2WD,318
MKCBlack,1475
MKXSelect,1503
MKTTOWN,1493
MKXReserve,1502
ContinentalPremiere,639
MKT,1482
MKT3.5L,1483
MKTAWD,1486
MKT3.7L,1484
MKTLivery,1490
ContinentalSelect,641
MKTEcoBoost,1488
Navigator,1660
MKTAll,1487
MKTTown,1494
ContinentalReserve,640
MKXPremiere,1501
Elise2dr,802
Evora2dr,884
Exige2dr,891
QuattroporteExecutive,1893
Quattroporte4dr,1892
Quattroporte,1891
QuattroporteSport,1896
QuattroporteS,1895
Coupe2dr,673
GranSport2dr,1201
QuattroporteGTS,1894
GhibliGhibli,1186
Spyder2dr,2299
GhibliSedan,1187
GranTurismo2dr,1203
GranTurismo,1202
